Code,Label
0206411000,Destine a la fabrication des produits pharmaceutiques
0206419000,Autres
0206491000,Destine a la fabrication des produits pharmaceutiques
0206499000,Autres
0206801000,Destine a la fabrication des produits pharmaceutiques
0206809100,Des especes ovine ou caprine 
0206809200,"Des especes chevaline, asine ou mulassiere "
0206901000,Destine a la fabrication des produits pharmaceutiques
0206909100,Des especes ovine ou caprine 
0206909200,"Des especes chevaline, asine ou mulassiere "
0207111000,"Presentes plumes, sans boyaux, avec la tete et les pattes, denommes « poulets 83% »"
0207112000,"Presentes plumes, vides, sans la tete ni les pattes, mais avec le cou, le coeur, le foie et le gesier, denommes « poulets 70% »"
0207119000,"Presentes plumes, vides, sans la tete ni les pattes et sans le cou, le coeur, le foie et le gesier, denommes « poulets 65% », ou autrement presentes"
0207121000,"Presentes plumes, sans boyaux, avec la tete et les pattes, denommes « poulets 83% »"
0207122000,"Presentes plumes, vides, sans la tete ni les pattes, mais avec le cou, le coeur, le foie et le gesier, denommes « poulets 70% »"
0207129000,"Presentes plumes, vides, sans la tete ni les pattes et sans le cou, le coeur, le foie et le gesier, denommes « poulets 65% », ou autrement presentes"
0207131000,Morceaux desosses
0207132100,Demis ou quarts
0207132200,"Ailes entieres, meme sans la pointe"
0207132300,"Dos, cous, dos avec cous, croupions ou pointes d'ailes"
0207132400,Poitrines et morceaux de poitrines
0207132500,Cuisses et morceaux de cuisses
0207132900,Autres
0207133100,Foies
0207133900,Autres
0207141100,Broyees
0207141200,"De brechet et escalope (poitrine) sans peau, non broyes"
0207141300,"De cuisses entieres sans peau, non broyes"
0207141900,Autres
0207142100,Demis ou quarts
0207142200,"Ailes entieres, meme sans la pointe"
0207142300,"Dos, cous, dos avec cous, croupions ou pointes d'ailes"
0207142400,Poitrines et morceaux de poitrines
0207142500,Cuisses et morceaux de cuisses
0207142900,Autres
0207143100,Foies
0207143900,Autres
0207241000,"Presentes plumes, vides, sans la tete ni les pattes, avec le cou, le coeur, le foie et le gesier, denommes « dindes 80% »"
0207249000,"Presentes plumes, vides, sans la tete ni le cou, sans les pattes, le coeur, le foie et le gesier, denommes « dindes 73% », ou autrement presentes"
0207251000,"Presentes plumes, vides, sans la tete ni les pattes, avec le cou, le coeur, le foie et le gesier, denommes « dindes 80% »"
0207259000,"Presentes plumes, vides, sans la tete ni le cou, sans les pattes, le coeur, le foie et le gesier, denommes « dindes 73% », ou autrement presentes"
0207261100,Broyees
0207261200,"De brechet et escalope (poitrine) sans peau, non broyes"
0207261300,"De cuisses entieres sans peau, non broyes"
0207261900,Autres
0207262100,Demis ou quarts
0207262200,"Ailes entieres, meme sans la pointe"
0207262300,"Dos, cous, dos avec cous, croupions ou pointes d'ailes"
0207262400,Poitrines et morceaux de poitrines
0207262500,Cuisses et morceaux de cuisses
0207262900,Autres
0207263100,Foies
0207263900,Autres
0207271100,Broyees
0207271200,"De brechet et escalope (poitrine) sans peau, non broyes"
0207271300,"De cuisses entieres sans peau, non broyes"
0207271900,Autres
0207272100,Demis ou quarts
0207272200,"Ailes entieres, meme sans la pointe"
0207272300,"Dos, cous, dos avec cous, croupions ou pointes d'ailes"
0207272400,Poitrines et morceaux de poitrines
0207272500,Cuisses et morceaux de cuisses
0207272900,Autres
0207273100,Foies
0207273900,Autres
0207411000,"Presentes plumes, saignes, non-vides ou sans boyaux, avec la tete et les pattes, denommes « canards 85% »"
0207412000,"Presentes plumes, vides, sans la tete ni les pattes, mais avec le cou, le coeur, le foie et le gesier, denommes « canards 70% »"
0207419000,"Presentes plumes, vides, sans la tete ni les pattes et sans le cou, le coeur, le foie et le gesier, denommes « canards 63% »,  ou autrement presentes"
0207421000,"Presentes plumes, vides, sans la tete ni les pattes, mais avec le cou, le coeur, le foie et le gesier, denommes « canards 70% »"
0207429000,"Presentes plumes, vides, sans la tete ni les pattes et sans le cou, le coeur, le foie et le gesier, denommes « canards 63% »,  ou autrement presentes"
0207430000,"Foies gras, frais ou refrigeres"
0207441000,Morceaux desosses
0207442100,Demis ou quarts
0207442200,"Ailes entieres, meme sans la pointe"
0207442300,"Dos, cous, dos avec cous, croupions ou pointes d'ailes"
0207442400,Poitrines et morceaux de poitrines
0207442500,Cuisses et morceaux de cuisses
0207442900,Autres
0207443100,"Foies, autres que les foies gras"
0207443900,Autres
0207451000,Morceaux desosses
0207452100,Demis ou quarts
0207452200,"Ailes entieres, meme sans la pointe"
0207452300,"Dos, cous, dos avec cous, croupions ou pointes d'ailes"
0207452400,Poitrines et morceaux de poitrines
0207452500,Cuisses et morceaux de cuisses
0207452900,Autres
0207453100,Foies gras
0207453200,"Foies, autres que les foies gras"
0207453900,Autres
0207511000,"Presentees plumees, saignees, non-videes, avec la tete et les pattes, denommees « oies 82% »"
0207519000,"Presentees plumees, videes, sans la tete ni les pattes, avec ou sans le coeur et le gesier, denommees « oies 75% », ou autrement presentees"
0207521000,"Presentees plumees, saignees, non-videes, avec la tete et les pattes, denommees « oies 82% »"
0207529000,"Presentees plumees, videes, sans la tete ni les pattes, avec ou sans le coeur et le gesier, denommees « oies 75% », ou autrement presentees"
0207530000,"Foies gras, frais ou refrigeres"
0207541000,Morceaux desosses
0207542100,Demis ou quarts
0207542200,"Ailes entieres, meme sans la pointe"
0207542300,"Dos, cous, dos avec cous, croupions ou pointes d'ailes"
0207542400,Poitrines et morceaux de poitrines
0207542500,Cuisses et morceaux de cuisses
0207542900,Autres
0207543100,"Foies, autres que les foies gras"
0207543900,Autres
0207551000,Morceaux desosses
0207552100,Demis ou quarts
0207552200,"Ailes entieres, meme sans la pointe"
0207552300,"Dos, cous, dos avec cous, croupions ou pointes d'ailes"
0207552400,Poitrines et morceaux de poitrines
0207552500,Cuisses et morceaux de cuisses
0207552900,Autres
0207553100,Foies gras
0207553200,"Foies, autres que les foies gras"
0207553900,Autres
0207601000,"Non decoupes en morceaux, frais ou refrigeres"
0207602000,"Non decoupes en morceaux, congeles"
0207603100,Frais ou refrigeres
0207603200,Congeles
0207604100,Demis ou quarts
0207604200,"Ailes entieres, meme sans la pointe"
0207604300,"Dos, cous, dos avec cous, croupions ou pointes d'ailes"
0207604400,Poitrines et morceaux de poitrines
0207604500,Cuisses et morceaux de cuisses
0207604900,Autres
0207605100,Demis ou quarts
0207605200,"Ailes entieres, meme sans la pointe"
0207605300,"Dos, cous, dos avec cous, croupions ou pointes d'ailes"
0207605400,Poitrines et morceaux de poitrines
0207605500,Cuisses et morceaux de cuisses
0207605900,Autres
0207606100,Foies
0207606900,Autres
0207607100,Foies
0207607900,Autres
0208101100,Desossees
0208101200,Non desossees
0208102100,Desossees
0208102200,Non desossees
0208103100,Desossees
0208103200,Non desossees
0208104100,Desossees
0208104200,Non desossees
0208105100,Destines a la fabrication de produits pharmaceutiques
0208105200,de lapins
0208105300,de lievres
0208106100,Destines a la fabrication de produits pharmaceutiques
0208106200,de lapins
0208106300,de lievres
0208301000,"Viandes, fraiches ou refrigerees "
0208302000,Viandes congelees 
0208303100,Destines a la fabrication de produits pharmaceutiques
0208303900,Autres
0208304100,Destines a la fabrication de produits pharmaceutiques
0208304900,Autres
0208401100,De baleines
0208401200,De dauphins et marsouins
0208401300,De lamantins et dugongs
0208401400,Ded'otaries et phoques
0208401500,De lions de mer et morses
0208402100,De baleines
0208402200,De dauphins et marsouins
0208402300,De lamantins et dugongs
0208402400,Ded'otaries et phoques
0208402500,De lions de mer et morses
0208403100,Destines a la fabrication de produits pharmaceutiques
0208403900,Autres
0208404100,Destines a la fabrication de produits pharmaceutiques
0208404900,Autres
0208501000,Viandes fraiches ou refrigerees
0208502000,Viandes congelees
0208503100,Destines a la fabrication de produits pharmaceutiques
0208503900,Autres
0208504100,Destines a la fabrication de produits pharmaceutiques
0208504900,Autres
0208601100,Desossees
0208601200,Non desossees
0208602100,Desossees
0208602200,Non desossees
0208603100,Destines a la fabrication de produits pharmaceutiques
0208603900,Autres
0208604100,Destines a la fabrication de produits pharmaceutiques
0208604900,Autres
0208901100,"De cailles, canards et oies sauvages"
0208901200,Cuisses de grenouilles
0208901300,De pigeons domestiques
0208901900,Autres
0208902100,"De cailles, canards et oies sauvages"
0208902200,Cuisses de grenouilles
0208902300,De pigeons domestiques
0208902900,Autres
0208903100,Destines a la fabrication de produits pharmaceutiques
0208903900,Autres
0208904100,Destines a la fabrication de produits pharmaceutiques
0208904900,Autres
0209101100,"Frais, refrigeres"
0209101200,Congeles
0209101300,Sales ou en saumure
0209101400,Seches ou fumes 
0209102100,"Frais, refrigeres"
0209102200,Congeles
0209102300,Sales ou en saumure
0209102400,Seches ou fumes 
0209901100,"Frais, refrigeres"
0209901200,Congeles
0209901300,Sales ou en saumure
0209901400,Seches ou fumes 
0209909100,"Frais, refrigeres"
0209909200,Congeles
0209909300,Sales ou en saumure
0209909400,Seches ou fumes 
0210111000,Sales ou en saumure
0210112000,Seches ou fumes 
0210121000,Sales ou en saumure
0210122000,Seches ou fumes 
0210191000,Sales ou en saumure
0210192000,Seches ou fumes 
0210201100,Sales ou en saumure
0210201200,Seches ou fumes 
0210202100,Sales ou en saumure
0210202200,Seches ou fumes 
0210911100,Sales ou en saumure
0210911200,Seches ou fumes
0210912000,Abats
0210913000,"Farines et poudres, comestibles, de viandes ou d'abats"
0210921110,Sales ou en saumure
0210921120,Seches ou fumes 
0210921200,Abats
0210921300,"Farines et poudres, comestibles, de viandes ou d'abats"
0210922110,Sales ou en saumure
0210922120,Seches ou fumes 
0210922200,Abats
0210922300,"Farines et poudres, comestibles, de viandes ou d'abats"
0210931000,Viandes
0210932000,Abats
0210933000,"Farines et poudres, comestibles, de viandes ou d'abats"
0210991100,Des especes ovine ou caprine
0210991200,De volailles
0210991900,d'autres especes
0210992100,De l'espece porcine
0210992200,De l'espece bovine
0210992300,Des especes ovine ou caprine
0210992400,De volailles
0210992900,d'autres especes
0210993100,De l'espece porcine
0210993200,De l'espece bovine
0210993300,Des especes ovine et caprine
0210993400,De volailles
0210993900,d'autres especes
0309100000,De poisson
0309901000,De crustacés
0309902000,De mollusques
0309909000,D'autres invertébrés aquatiques
0301110000,d'eau douce
0301190000,Autres 
0301911000,Destinees a la reproduction
0301919000,Autres
0301921000,Destinees a la reproduction
0301929100,Civelles
0301929900,Autres
0301931100,Carassin (Carassius carassius)
0301931910,"Carpes des espèces (Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
0301931990,Autres
0301932100,"Géniteurs de carpes des espèces (Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
0301932900,Autres
0301939100,Carassin (Carassius carassius)
0301939910,"Carpes des espèces (Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
0301939990,Autres
0301941000,Destinees a la reproduction
0301949000,Autres
0301951000,Destinees a la reproduction
0301959000,Autres
0301991100,Destinees a la reproduction
0301991200,Destinées à l'élevage aquacole
0301991900,Autres
0301999110,Juveniles
0301999120,Tilapia
0301999130,Loup
0301999140,Daurade
0301999150,Maigre
0301999190,Autres
0301999910,Sardines 
0301999920,Harengs
0301999930,Saumons
0301999940,Esprots (sprats) et maquereaux
0301999950,Morues
0301999960,Soles
0301999970,Anchois
0301999980,Merlans
0301999991,Juveniles
0301999992,Tilapia
0301999999,Autres
0302111000,Des especes oncorhynchus apache et oncorhynchus chrysogaster
0302112000,"De l'espece oncorhynchus mykiss, avec tete et branchies, videes, pesant plusde1,2 kg piece, ou etetees et sansbranchies, videes, pesant plus de 1 kg piece."
0302119000,Autres
0302131000,Keta (Oncorhynchus keta)
0302132000,Coho (Oncorhynchus kisutch)
0302133000,Rose (Oncorhynchus gorbuscha)
0302134000,Rouge (Oncorhynchus nerka)
0302135000,Royal (Oncorhynchus tschawytscha)
0302139000,Autres
0302141000,Saumons de l'Atlantique (Salmo salar)
0302142000,Saumons du Danube (Hucho hucho)
0302191000,Coregones
0302199000,Autres
0302211000,Fletans noirs (Reinhardtius hippoglossoides)
0302212000,Fletans atlantiques (Hippoglossus hippoglossus)
0302213000,Fletans du pacifique (Hippoglossus stenolepis)
0302220000,Plies ou carrelets (Pleuronectes platessa)
0302230000,Soles (Solea spp.)
0302240000,Turbots (Psetta maxima)
0302291000,Cardine ((Lepidorhombus spp.)
0302299000,Autres
0302311000,Destines a la transformation
0302319000,Autres
0302321000,Destines a la fabrication industrielle des produits relevant du N  16.04
0302329000,Autres
0302331000,Destines a la fabrication industrielle des produits relevant du N  16.04
0302339000,Autres
0302341000,Destines a la fabrication industrielle des produits relevant du N  16.04
0302349000,Autres
0302351000,Destines a la fabrication industrielle des produits relevant du N  16.04
0302359000,Autres
0302361000,Destines a la fabrication industrielle des produits relevant du N  16.04
0302369000,Autres
0302391000,Destines a la fabrication industrielle des produits relevant du N  16.04
0302399000,Autres
0302410000,"Harengs (Clupea  harengus, Clupea pallasii) "
0302420000,Anchois (Engraulis spp.)
0302431000,"Sardines (Sardina pilchardus, Sardinops spp.) "
0302432100,Allache (sardinelle)
0302432900,Autres
0302433000,Sprats ou esprots (Sprattus sprattus) 
0302440000,"Maquereaux (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
0302450000,Chinchards  (Trachurus spp.)
0302460000,Mafous (Rachycentron canadum)
0302470000,Espadons (Xiphias gladius)
0302490000,Autres
0302510000,"Morues (Gadus morhua, Gadus ogac, Gadus macrocephalus) "
0302520000,Eglefins (Melanogrammus aeglefinus)
0302530000,Lieus noirs (Pollachius virens)
0302540000,Merlus (Merluccius spp. Urophycis spp.)
0302550000,Lieus d’Alaska (Theragra chalcogramma)
0302560000,"Merlans bleus (Micromesistius poutassou, Micromesistius australis)"
0302590000,Autres
0302710000,Tilapias (Oreochromis spp.)
0302720000,"Silurides (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
0302731000,"Carpes des espèces (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
0302732000,"Carpes  des espèces (Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
0302741000,Civelles
0302749000,Autres
0302791000,Perches du Nil (Lates niloticus)
0302792000,Poissons tete de serpent (Channa spp.)
0302811000,Aiguillats (squalus acanthias)
0302812000,Roussettes (scyliorhinus spp)
0302819000,Autres
0302820000,Raies (Rajidae)
0302830000,Legines (Dissostichus spp.)
0302840000,Bars (Dicentrarchus spp.)
0302850000,Dorades (Sparides) (Sparidae)
0302891000,Sebastes (Perca)
0302892000,Morues-lingues (Ophiodon elongatus)
0302893000,Baudroies (Lophiidae)
0302894000,Rouget
0302895000,Pageot
0302896000,Maigre (Argyrosomus regius)
0302897000,"Autres, d'eau douce"
0302899000,Autres
0302911000,Foies
0302912000,oeufs et laitances
0302920000,Ailerons de requins
0302991000,De salmonidés
0302992000,De poissons plats
0302993000,"De thons, de listaos ou de bonites à ventre rayé"
0302994000,"D'harengs, d'anchois, de sardines , de sardinelles, de sprats ou esprots , de maquereaux, de chinchards noirs, de mafous ou d'espadons"
0302995000,"De poissons des familles Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae ou Muraenolepididae"
0302996000,"De tilapias, de silures, de carpes, d'anguilles , de perches du Nil ou de poissons tête de serpent"
0302999000,D'autres poissons
0303110000,Saumons rouges (oncorhynchus nerka)
0303121000,Saumons Keta (Oncorhynchus keta)
0303122000,Saumons Coho (Oncorhynchus kisutch)
0303123000,Saumons Rose (Oncorhynchus gorbuscha)
0303124000,Saumons Royal (Oncorhynchus tschawytscha)
0303129000,Autres
0303131000,Saumons de l'Atlantique (Salmo salar)
0303139000,Saumons du Danube (Hucho hucho)
0303141000,Des especes oncorhynchus apache et oncorhynchus chrysogaster
0303142000,"De l'espece oncorhynchus mykiss, avec tete et branchies, videes, pesant plusde1,2 kg piece, ou etetees et sans branchies, videes, pesant plus de 1 kg piece."
0303149000,Autres
0303191000,Coregones
0303199000,Autres
0303230000,Tilapias (Oreochromis spp.)
0303240000,"Silurides (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
0303251000,"Carpes des espèces (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
0303252000,"Carpes des espèces (Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
0303261000,Civelles
0303269000,Autres
0303291000,Perches du Nil (Lates niloticus)
0303299000,Poissons tete de serpent (Channa spp.)
0303311000,Fletans noirs (Reinhardtius hippoglossoides)
0303312000,Fletans atlantiques (Hippoglossus hippoglossus)
0303313000,Fletans pacifiques (Hippoglossus stenolepis)
0303320000,Plies ou carrelets (Pleuronectes platessa)
0303330000,Soles (Solea spp.)
0303340000,Turbots (Psetta maxima)
0303391000,Flets communs (platichthys flesus)
0303392000,Poisson du genre Rhombosolea
0303399000,Autres
0303411000,Destines a la transformation
0303419000,Autres
0303421000,Destines a la fabrication industrielle des produits relevant du N  16.04 
0303429000,Autres
0303431000,Destines a la fabrication industrielle des produits relevant du N  16.04
0303439000,Autres
0303441000,Destines a la fabrication industrielle des produits relevant du N  16.04
0303449000,Autres
0303451000,Destines a la fabrication industrielle des produits relevant du N  16.04
0303459000,Autres
0303461000,Destines a la fabrication industrielle des produits relevant du N  16.04
0303469000,Autres
0303491000,Destines a la fabrication industrielle des produits relevant du N  16.04
0303499000,Autres
0303510000,"Harengs (Clupea harengus, Clupea pallasii)"
0303531000,"Sardines (Sardina pilchardus, Sardinops spp"
0303532000,Sardinelles (Sardinella spp.)
0303533000,Sprats ou esprots (Sprattus sprattus)
0303541000,Des especes Scomber scombrus  et scomber japonicus
0303542000,Des especes Scomber australasicus
0303550000,Chinchards  (Trachurus spp.)
0303560000,Mafous (Rachycentron canadum)
0303570000,Espadons (Xiphias gladius)
0303590000,Autres
0303630000,"Morues (Gadus morhua, Gadus ogac, Gadus macrocephalus) "
0303640000,Eglefins (Melanogrammus aeglefinus)
0303650000,Lieus noirs (Pollachius virens)
0303660000,"Merlus (Merluccius spp., Urophycis spp.) "
0303670000,Lieusd'Alaska (Theragra chalcogramma)
0303680000,"Merlans bleus (Micromesistius poutassou, Micromesistius australis)"
0303690000,Autres
0303811000,Aiguillats (squalus acanthias)
0303812000,Roussettes (scyliorhinus spp)
0303819000,Autres
0303820000,Raies (Rajidae)
0303830000,Legines (Dissostichus spp.)
0303840000,Bars (Dicentrarchus spp.)
0303891000,Sebastes du Pacifique (Sebastes alutus)
0303892000,Morues charbonnieres (Anoplopma fimbria)
0303893000,Rascasses scorpenes (Scorpaenidae)
0303894000,Baudroies (Lophiidae)
0303895000,"Autres, d'eau douce"
0303899100,Maigre (Argyrosomus regius)
0303899900,Autres
0303911100,Foies 
0303911210,Destinés à la production d'acide désoxyribonucléique ou de sulfate de protamine
0303911290,Autres
0303919110,De hareng
0303919190,Autres
0303919211,Destinés à la production d'acide désoxyribonucléique ou de sulfate de protamine
0303919219,Autres
0303919291,Destinés à la production d'acide désoxyribonucléique ou de sulfate de protamine
0303919299,Autres
0303920000,Ailerons de requins
0303991000,De salmonidés
0303992000,"De tilapias, de silures, de carpes, d'anguilles , de perches du Nil ou de poissons tête de serpent"
0303993000,De poissons plats
0303994000,"De thons, de listaos ou de bonites à ventre rayé"
0303995000,"D'harengs, de sardines , de sardinelles, de sprats ou esprots , de maquereaux, de chinchards noirs, de mafous ou d'espadons"
0303996000,"De poissons des familles Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae ou Muraenolepididae"
0303999000,D'autres poissons
0304310000,Tilapias (Oreochromis spp.)
0304320000,"Silurides (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
0304330000,Perches du Nil (Lates niloticus)
0304391100,"Carpes des espèces (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
0304391200,"Carpes  des espèces (Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
0304392000,Anguilles (Anguilla spp.)
0304393000,Poissons tete de serpent (Channa spp.)
0304410000,"Saumons du Pacifique (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou et Oncorhynchus rhodurus), saumons de l'Atlantique (Salmo salar) et saumons du Danube (Hucho hucho"
0304420000,"Truites (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache et Oncorhynchus chrysogaster)"
0304431000,"Turbots (Psetta maxima, Scophthalmidae)"
0304432000,Soles (Solea spp.)
0304439000,Autres
